Scan Time,Symbol,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Scan Mode,Monitoring Status,Monitoring Started,Last 15m Check,Category,Signal,Reason
2026-08-25 23:45:02,HFCL,238.01,79.09,77.32,1.77,2026-08-25 23:00,65.13,69.16,-4.03,NO,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 79.09 > 50; Hourly RSI 65.13; 15m confirmation checked only while monitored
2026-08-25 23:45:03,HINDALCO,1051.05,59.04,57.17,1.87,2026-08-25 23:00,57.4,65.54,-8.14,NO,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 59.04 > 50; Hourly RSI 57.40; 15m confirmation checked only while monitored
2026-08-25 23:45:04,HINDZINC,592.6,54.48,54.87,-0.39,2026-08-25 23:00,54.27,69.83,-15.56,NO,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 54.48 > 50; Hourly RSI 54.27; 15m confirmation checked only while monitored
2026-08-25 23:45:04,HONASA,485.5,71.79,71.25,0.54,2026-08-25 23:00,51.27,61.59,-10.32,NO,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 71.79 > 50; Hourly RSI 51.27; 15m confirmation checked only while monitored
2026-08-25 23:45:05,IDEA,15.19,67.05,60.73,6.32,2026-08-25 23:00,86.3,56.24,30.06,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 67.05 > 50; Hourly RSI 86.30; 15m confirmation checked only while monitored
2026-08-25 23:45:06,IFCI,83.25,63.61,61.85,1.76,2026-08-25 23:00,68.01,63.7,4.3,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 63.61 > 50; Hourly RSI 68.01; 15m confirmation checked only while monitored
2026-08-25 23:45:44,INOXINDIA,1900.0,68.22,71.46,-3.23,2026-08-25 23:00,38.63,47.36,-8.73,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 68.22 > 50, but Hourly RSI has not touched 30 (current 38.63)"
2026-08-25 23:45:07,J&KBANK,149.52,52.25,52.0,0.25,2026-08-25 23:00,54.34,27.67,26.67,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 52.25 > 50; Hourly RSI 54.34; 15m confirmation checked only while monitored
2026-08-25 23:45:45,JINDALSAW,281.75,63.05,67.32,-4.28,2026-08-25 23:00,49.03,58.02,-8.99,NO,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 63.05 > 50, but Hourly RSI has not touched 30 (current 49.03)"
2026-08-25 23:45:08,JINDALSTEL,1154.1,54.65,51.38,3.26,2026-08-25 23:00,77.37,74.65,2.72,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 54.65 > 50; Hourly RSI 77.37; 15m confirmation checked only while monitored
2026-08-25 23:45:09,JYOTICNC,989.95,67.68,67.61,0.07,2026-08-25 23:00,70.09,65.98,4.11,YES,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 67.68 > 50; Hourly RSI 70.09; 15m confirmation checked only while monitored
