Scan Time,Symbol,Tag,Universe Sources,Universe Periods,Universe Sectors,Universe Ranks,Favorite Reasons,Favorite Notes,Chartink URL,Instrument Key,Current LTP,Current Week RSI,Previous Week RSI,Weekly RSI Change,Current Hour,Current Hourly RSI,Previous Hourly RSI,Hourly RSI Change,Hourly RSI Rising,Price Confirmation,Completed Hourly Close,Previous Hourly High,Hourly RSI Touched 30,15m Price Confirmation,Completed 15m Close,Previous 15m High,15m Confirmation Candle,Current 15m Candle,Current 15m RSI,Previous 15m Candle RSI,15m RSI Change,15m RSI Rising,15m Rising Count,History Transition,Scan Mode,Monitoring Status,Monitoring Started,Last 15m Check,Category,Signal,Reason
2026-08-25 23:45:52,RADICO,YTD Top 50,YTD Top 50,YTD,nifty500,47.0,,,https://chartink.com/stocks/RADICO.html,NSE_EQ|INE944F01028,4630.0,85.35,86.01,-0.66,2026-08-25 23:00,48.96,41.24,7.72,YES,NO,4600.0,4615.0,NO,NO,4630.0,4650.0,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 85.35 > 50, but Hourly RSI has not touched 30 (current 48.96)"
2026-08-25 23:45:45,JINDALSAW,YTD Top 50,YTD Top 50,YTD,nifty500,20.0,,,https://chartink.com/stocks/JINDALSAW.html,NSE_EQ|INE324A01032,281.75,63.05,67.32,-4.28,2026-08-25 23:00,49.03,58.02,-8.99,NO,NO,286.25,290.65,NO,NO,281.55,282.55,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 63.05 > 50, but Hourly RSI has not touched 30 (current 49.03)"
2026-08-25 23:45:57,SYRMA,YTD Top 50,YTD Top 50,YTD,nifty500,6.0,,,https://chartink.com/stocks/SYRMA.html,NSE_EQ|INE0DYJ01015,1458.1,67.99,67.21,0.78,2026-08-25 23:00,49.23,49.86,-0.63,NO,NO,1459.0,1462.5,NO,NO,1460.0,1460.0,2026-08-25 15:15,,,,,,,15m logic removed,15M MONITOR,MONITORING,,,WATCH,👀 WATCH,"Weekly RSI 67.99 > 50, but Hourly RSI has not touched 30 (current 49.23)"
2026-08-25 23:45:17,OFSS,YTD Top 50,YTD Top 50,YTD,nifty500,32.0,,,https://chartink.com/stocks/OFSS.html,NSE_EQ|INE881D01027,11729.0,66.79,66.76,0.03,2026-08-25 23:00,50.58,34.83,15.76,YES,NO,11518.0,11593.0,NO,NO,,,,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 66.79 > 50; Hourly RSI 50.58; 15m confirmation checked only while monitored
2026-08-25 23:45:04,HONASA,YTD Top 50,YTD Top 50,YTD,nifty500,14.0,,,https://chartink.com/stocks/HONASA.html,NSE_EQ|INE0J5401028,485.5,71.79,71.25,0.54,2026-08-25 23:00,51.27,61.59,-10.32,NO,NO,490.95,493.0,NO,NO,,,,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 71.79 > 50; Hourly RSI 51.27; 15m confirmation checked only while monitored
2026-08-25 23:44:43,ACMESOLAR,YTD Top 50,YTD Top 50,YTD,nifty500,18.0,,,https://chartink.com/stocks/ACMESOLAR.html,NSE_EQ|INE622W01025,399.3,69.73,70.63,-0.89,2026-08-25 23:00,52.7,67.31,-14.61,NO,NO,408.55,409.6,NO,NO,,,,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 69.73 > 50; Hourly RSI 52.70; 15m confirmation checked only while monitored
2026-08-25 23:45:26,STYL,Sector Top 5 | YTD Top 50,Sector Top 5 | YTD Top 50,3M | YTD,Nifty India Internet Index,3.0 | 39.0,,,https://chartink.com/stocks/STYL.html,NSE_EQ|INE04VU01023,394.0,63.51,63.29,0.22,2026-08-25 23:00,52.86,45.66,7.2,YES,YES,389.9,388.6,NO,NO,,,,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 63.51 > 50; Hourly RSI 52.86; 15m confirmation checked only while monitored
2026-08-25 23:45:28,THOMASCOOK,Sector Top 5,Sector Top 5,Weekly,Nifty India Internet Index,4.0,,,https://chartink.com/stocks/THOMASCOOK.html,NSE_EQ|INE332A01027,110.42,51.68,54.04,-2.36,2026-08-25 23:00,54.1,64.77,-10.67,NO,NO,112.5,116.0,NO,NO,,,,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 51.68 > 50; Hourly RSI 54.10; 15m confirmation checked only while monitored
2026-08-25 23:45:04,HINDZINC,Sector Top 5,Sector Top 5,Weekly,niftymetal,3.0,,,https://chartink.com/stocks/HINDZINC.html,NSE_EQ|INE267A01025,592.6,54.48,54.87,-0.39,2026-08-25 23:00,54.27,69.83,-15.56,NO,NO,604.0,614.2,NO,NO,,,,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 54.48 > 50; Hourly RSI 54.27; 15m confirmation checked only while monitored
2026-08-25 23:45:07,J&KBANK,YTD Top 50,YTD Top 50,YTD,nifty500,35.0,,,https://chartink.com/stocks/J%26KBANK.html,NSE_EQ|INE168A01041,149.52,52.25,52.0,0.25,2026-08-25 23:00,54.34,27.67,26.67,YES,NO,146.25,147.19,NO,NO,,,,,,,,,,15m logic removed,HOURLY,NORMAL,,,WATCH,👀 WATCH,Weekly RSI 52.25 > 50; Hourly RSI 54.34; 15m confirmation checked only while monitored
