Sector,Company Name,Industry,Symbol,Series,ISIN Code,Status
niftyfinance,LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
niftyfinancialservices25-50,LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
niftyfinancialservicesexbank,Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013,MAPPING_NOT_FOUND
niftyfinancialservicesexbank,LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
niftyhealthcare,Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
niftyhealthcare,Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
niftyhousing,Tata Steel Ltd.,METALS,TATASTEEL,EQ,INE081A01012,MAPPING_NOT_FOUND
niftyhousing,Kotak Mahindra Bank Ltd.,FINANCIAL SERVICES,KOTAKBANK,EQ,INE237A01028,MAPPING_NOT_FOUND
niftyhousing,Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,EQ,INE001A01036,MAPPING_NOT_FOUND
niftyhousing,LIC Housing Finance Ltd.,FINANCIAL SERVICES,LICHSGFIN,EQ,INE115A01026,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
niftyhousing,ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,EQ,INE012A01025,"Upstox API error 400: {""status"":""error"",""errors"":[{""errorCode"":""UDAPI100500"",""message"":""Something went wrong... please contact us"",""propertyPath"":null,""invalidValue"":null,""error_code"":""UDAPI100500"",""property_path"":null,""invalid_value"":null}]}"
